,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
77,ENCBS021VJD,unknown,,,primary cell,immature natural killer cell,,,,,,,NK CD3- CD14- CD19- CD56+,/biosamples/ENCBS021VJD/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens immature natural killer primary cell, preserved by cryopreservation",,
78,ENCBS022BLS,unknown,,,cell line,HEK293,,,,,,,"embryonic kidney, cells contain Adenovirus 5 DNA",/biosamples/ENCBS022BLS/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HEK293 cell line,,ENCBS613RZL
79,ENCBS022EQP,91,day,91 days,tissue,large intestine,,,,,,,"Large intestine tissue from a healthy day 91 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS022EQP/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (91 days) large intestine tissue,,
80,ENCBS022HXP,16,year,16 years,tissue,pancreas,,,,,,2017-06-09,,/biosamples/ENCBS022HXP/,"Bradley Bernstein, Broad",child,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens female child (16 years) pancreas tissue,,
81,ENCBS022KBA,50,year,50 years,tissue,mucosa of rectum,,,,,,,Human primary rectal mucosal tissue obtained from a healthy 50 year old white female donor. Sample was obtained through surgery from MGH Pathology department.,/biosamples/ENCBS022KBA/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens female adult (50 years) mucosa of rectum tissue,,
82,ENCBS023FES,unknown,,,cell line,L1-S8R,,,,,,,"L1-S8R is a human iPSC line derived from L1-S8 after transduction with lentiviral vector pLM-fSV2A (Papapetrou et al NBT 2011) expressing OCT4, SOX2, KLF4 and cMYC.",/biosamples/ENCBS023FES/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,John Stamatoyannopoulos,released,Homo sapiens L1-S8R cell line,,ENCBS293PZC
83,ENCBS023IXF,105,day,105 days,tissue,muscle of leg,,,,,,,"Leg muscle primary tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS023IXF/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (105 days) muscle of leg tissue,,
84,ENCBS023XCT,22,year,22 years,primary cell,skeletal muscle myoblast,,,,,,,skeletal muscle myoblasts,/biosamples/ENCBS023XCT/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens male adult (22 years) skeletal muscle myoblast primary cell,,ENCBS914GNL
85,ENCBS024BVP,unknown,,,primary cell,immature natural killer cell,,,,,,,NK CD3- CD14- CD19- CD56+,/biosamples/ENCBS024BVP/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens immature natural killer primary cell, preserved by cryopreservation",,
86,ENCBS024CHQ,5,day,5 days,in vitro differentiated cells,type B pancreatic cell,,,,,,,,/biosamples/ENCBS024CHQ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,SESCC,released,Homo sapiens female embryo (5 days) type B pancreatic in vitro differentiated cells,,
87,ENCBS024DYT,unknown,,,primary cell,fibroblast of lung,,,,,,,pulmonary fibroblasts isolated from lung tissue,/biosamples/ENCBS024DYT/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens fibroblast of lung primary cell,,ENCBS323AAA
88,ENCBS024NHD,56,year,56 years,cell line,LoVo,,,,,,,,/biosamples/ENCBS024NHD/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens LoVo cell line,,ENCBS080BPN
89,ENCBS024PJA,58,year,58 years,cell line,A549,,,,,,,,/biosamples/ENCBS024PJA/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS049MEE,ENCBS003HWJ"
90,ENCBS024YFT,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS024YFT/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens male adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
91,ENCBS024ZMP,unknown,,,primary cell,non-pigmented ciliary epithelial cell,,,,,,,non-pigment ciliary epithelial cells,/biosamples/ENCBS024ZMP/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens non-pigmented ciliary epithelial primary cell,,ENCBS406ENC
92,ENCBS025MJZ,47,year,47 years,tissue,right lobe of liver,,,,,,2017-06-24,,/biosamples/ENCBS025MJZ/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens female adult (47 years) right lobe of liver tissue,,
93,ENCBS026BZC,33,year,33 years,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS026BZC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) CD4-positive, alpha-beta T primary cell",,
94,ENCBS026RJE,97,day,97 days,tissue,renal cortex interstitium,,,,,,,"Kidney renal cortex tissue from a healthy day 97 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS026RJE/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (97 days) renal cortex interstitium tissue,,
95,ENCBS027CBC,unknown,,,primary cell,B cell,,,,,,,Flow sorted CD19+ B cells from cord blood. Cells provided by FHCRC.,/biosamples/ENCBS027CBC/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens B primary cell,,ENCBS640MOY
96,ENCBS027VFH,43,year,43 years,primary cell,"activated CD4-positive, alpha-beta memory T cell","Interleukin-2,anti-CD3 and anti-CD28 coated beads","stimulation,activation",,,,,,/biosamples/ENCBS027VFH/,"Yijun Ruan, JAX",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (43 years) activated CD4-positive, alpha-beta memory T primary cell treated with 10 ng/mL Interleukin-2 for 5 days, anti-CD3 and anti-CD28 coated beads for 7 days",,
97,ENCBS028DQF,38,year,38 years,primary cell,activated T-cell,"anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS028DQF/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) activated T-cell primary cell treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 50 U/mL Interleukin-2 for 1 hour",,
98,ENCBS028WAL,26,year,26 years,tissue,pancreas,,,,,,2017-06-28,,/biosamples/ENCBS028WAL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (26 years) pancreas tissue, preserved by flash-freezing",,
99,ENCBS028WMZ,113,day,113 days,tissue,large intestine,,,,,,,"Large intestine tissue from a healthy day 113 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS028WMZ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (113 days) large intestine tissue,,
100,ENCBS029EAG,75,year,75 years,tissue,substantia nigra,,,,,,,Substantia nigra portion of brain tissue from the brain of a non Alzheimer's healthy 75 year old female donor. Sample was obtained post-mortem from Rush University Medical Center.,/biosamples/ENCBS029EAG/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (75 years) substantia nigra tissue,,
101,ENCBS029YJS,90 or above,year,90 or above years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS029YJS/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with Alzheimer's disease; posterior cingulate gyrus tissue,,
102,ENCBS030BAP,69,year,69 years,tissue,heart left ventricle,,,,,,2018-10-07,,/biosamples/ENCBS030BAP/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (69 years) heart left ventricle tissue,,
103,ENCBS030HJI,53,year,53 years,cell line,K562,,,,,,,,/biosamples/ENCBS030HJI/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens K562 cell line,,"ENCBS049FLD,ENCBS254OQS"
104,ENCBS030NVK,unknown,,,primary cell,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,,CD4+ naive CD3+ CD4+ CD8- CD45RA+ CD45RO- nonTreg,/biosamples/ENCBS030NVK/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens with multiple sclerosis; naive thymus-derived CD4-positive, alpha-beta T primary cell, preserved by cryopreservation",,
105,ENCBS031FCA,53,year,53 years,tissue,sigmoid colon,,,,,,,,/biosamples/ENCBS031FCA/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) sigmoid colon tissue,,
106,ENCBS031GUL,31,year,31 years,cell line,HeLa-S3,,,,,,,Cervical adenocarcinoma,/biosamples/ENCBS031GUL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens HeLa-S3 cell line G1b phase,,ENCBS254ZSR
107,ENCBS031JXY,61,year,61 years,tissue,pancreas,,,,,,2018-05-29,,/biosamples/ENCBS031JXY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (61 years) pancreas tissue, preserved by flash-freezing",,
108,ENCBS031YPO,81,year,81 years,tissue,subcutaneous abdominal adipose tissue,,,,,,,Human primary nuclei derived from crude preps of adipose tissue obtained from the abdomen of a healthy 81 year old female donor. Sample was obtained through surgery from Harvard University.,/biosamples/ENCBS031YPO/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens female adult (81 years) subcutaneous abdominal adipose tissue nuclear fraction,,
109,ENCBS032BLA,unknown,,,primary cell,cardiac fibroblast,,,,,,,cardiac fibroblasts- adult atrial,/biosamples/ENCBS032BLA/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens female adult cardiac fibroblast primary cell,,ENCBS307AAA
110,ENCBS032QTQ,40,year,40 years,tissue,right cardiac atrium,,,,,,2018-03-09,,/biosamples/ENCBS032QTQ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (40 years) right cardiac atrium tissue, preserved by cryopreservation",,
111,ENCBS032SIL,23,year,23 years,cell line,NB4,,,,,,,acute promyelocytic leukemia cell line. (PMID: 1995093),/biosamples/ENCBS032SIL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,DSMZ,released,Homo sapiens NB4 cell line,,ENCBS390ENC
112,ENCBS033DPJ,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS033DPJ/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
113,ENCBS034BMX,22,year,22 years,primary cell,skeletal muscle myoblast,,,,,2008-02-01,,,/biosamples/ENCBS034BMX/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens male adult (22 years) skeletal muscle myoblast primary cell,,ENCBS914GNL
114,ENCBS034DIU,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS034DIU/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
115,ENCBS034DOC,39,year,39 years,cell line,Ishikawa,,,,,,,Endometrial adenocarcinoma Note: This cell line was previously mis-identified as ECC-1 (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432677/).,/biosamples/ENCBS034DOC/,"Richard Myers, HAIB",adult,,,,,,,Homo sapiens,,,Sigma,released,Homo sapiens Ishikawa cell line,,
116,ENCBS034SKE,108,day,108 days,tissue,kidney,,,,,,,"Fetal kidney primary tissue from a healthy day 108 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS034SKE/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (108 days) kidney tissue,,
117,ENCBS034UEI,38,year,38 years,primary cell,"stimulated activated CD8-positive, alpha-beta memory T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-15","activation,stimulation",,,,,,/biosamples/ENCBS034UEI/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD8-positive, alpha-beta memory T primary cell treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour",,
118,ENCBS034ZQP,105,day,105 days,tissue,kidney,,,,,,,"Kidney tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS034ZQP/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (105 days) kidney tissue,,
119,ENCBS035CTF,33,year,33 years,primary cell,"effector memory CD8-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS035CTF/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (33 years) effector memory CD8-positive, alpha-beta T primary cell",,ENCBS407SBU
120,ENCBS035DRR,20,week,20 weeks,tissue,germinal matrix,,,,,,,"Brain (Germinal Matrix) tissue from a healthy Caucasian male donor at 20 weeks gestation. Provided by the Costello lab in UCSF. Sample is named HuFGM02, twin of HuFGM01.",/biosamples/ENCBS035DRR/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Joseph Costello,released,Homo sapiens male embryo (20 weeks) germinal matrix tissue,,
121,ENCBS035JYQ,unknown,,,cell line,HG03064,,,,,2017-01-13,,HG03064 LCLs; Donor from the Mende in Sierra Leone (MSL),/biosamples/ENCBS035JYQ/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens HG03064 cell line,,
122,ENCBS035OSQ,44,year,44 years,cell line,HAP-1,,,,,,,,/biosamples/ENCBS035OSQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Haplogen Genomics,released,Homo sapiens HAP-1 cell line,,ENCBS547QLC
123,ENCBS035TPY,21,year,21 years,cell line,AG09309,,,,,,,"adult toe fibroblast from apparently healthy 21 year old, 7% of the cells examined showing random chromosome loss/gain -Coriell",/biosamples/ENCBS035TPY/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG09309 cell line,,ENCBS005ENC
124,ENCBS035WEB,61,year,61 years,tissue,pancreas,,,,/biosamples/ENCBS805SGE/,,2018-05-29,,/biosamples/ENCBS035WEB/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (61 years) pancreas tissue, preserved by cryopreservation",,
125,ENCBS036BKD,51,year,51 years,tissue,tibial nerve,,,,,,,,/biosamples/ENCBS036BKD/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) tibial nerve tissue,,
126,ENCBS037ALL,4,year,4 years,cell line,SK-N-SH,all-trans-retinoic acid,activation,,,,,,/biosamples/ENCBS037ALL/,"Michael Snyder, Stanford",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens SK-N-SH cell line treated with 6 μM all-trans-retinoic acid for 48 hours,,"ENCBS612PAQ,ENCBS460YKE"
127,ENCBS037BYL,34,year,34 years,primary cell,natural killer cell,,,,,,,Flow sorted CD56+ mobilized primary cells from a healthy 34 year year old Caucasian female donor. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS037BYL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens female adult (34 years) natural killer primary cell,,
128,ENCBS037HTE,101,day,101 days,tissue,liver,,,,,,,,/biosamples/ENCBS037HTE/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,BDRL,released,Homo sapiens female embryo (101 days) liver tissue,,ENCBS275VNY
129,ENCBS037NAC,24,year,24 years,cell line,AG09319,,,,,,,gum tissue fibroblasts from apparently healthy 24 year old,/biosamples/ENCBS037NAC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG09319 cell line,,ENCBS443ENC
130,ENCBS037RPE,unknown,,,primary cell,"CD4-positive, alpha-beta memory T cell",,,,,,,Isoform CD45RO+ memory CD4+ T cells from pooled leukopacks. Cells came from a healthy donor provided by Dana Farber Cancer Institute.,/biosamples/ENCBS037RPE/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens CD4-positive, alpha-beta memory T primary cell",,ENCBS800QLP
131,ENCBS038JHN,unknown,,,cell line,HG03439,,,,,2017-01-27,,HG03439 LCLs; Donor from the Mende in Sierra Leone (MSL),/biosamples/ENCBS038JHN/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens HG03439 cell line,,
132,ENCBS038LRK,34,year,34 years,tissue,sigmoid colon,,,,,,,Sigmoid colon tissue from a 34 year old male Caucasian human with polysubstance abuse. Tissue provided by Shin Lin at Stanford University,/biosamples/ENCBS038LRK/,"Bing Ren, UCSD",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (34 years) sigmoid colon tissue,,
133,ENCBS038RNY,47,year,47 years,in vitro differentiated cells,motor neuron,,,,,,,iPSC-derived motor neuron,/biosamples/ENCBS038RNY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Cooper-Knock lab, University of Sheffield, UK",released,Homo sapiens male adult (47 years) with amyotrophic lateral sclerosis; motor neuron in vitro differentiated cells,,ENCBS238JUI
134,ENCBS039ENC,53,year,53 years,cell line,K562,,,,,,,"leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC",/biosamples/ENCBS039ENC/,"Thomas Gingeras, CSHL",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens K562 cell line,,
135,ENCBS040KTJ,42,year,42 years,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS040KTJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) CD4-positive, alpha-beta T primary cell",,
136,ENCBS040MJM,48,year,48 years,cell line,OCI-LY7,,,,,2013-07-25,,"established from the peripheral blood sample of a 48-year-old man with B-cell Non-Hodgkin lymphoma (B-NHL, diffuse large cell lymphoma, DLCL, stage 2A, at relapse) in 1984",/biosamples/ENCBS040MJM/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Mark Minden,released,Homo sapiens OCI-LY7 cell line,,"ENCBS886BJZ,ENCBS121JKZ"
137,ENCBS040UGC,unknown,,,cell line,BLaER1,"17β-estradiol,Interleukin-3,CSF1",stimulation,,"/biosamples/ENCBS789ERA/,/biosamples/ENCBS890IWZ/",2014-07-22,,,/biosamples/ENCBS040UGC/,"Roderic Guigo, CRG",unknown,,,,,,,Homo sapiens,,,Thomas Graf,released,"Homo sapiens BLaER1 cell line 120 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1",,ENCBS019UMZ
138,ENCBS041TLB,61,year,61 years,tissue,fallopian tube,,,,,,2018-05-29,,/biosamples/ENCBS041TLB/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (61 years) fallopian tube tissue, preserved by flash-freezing",,
139,ENCBS041UOV,unknown,,,primary cell,foreskin melanocyte,,,,,,,Foreskin melanocytes from a newborn healthy male donor provided by . Melanocytes were grown in Invitrogen 254 + HMGS medium.,/biosamples/ENCBS041UOV/,"Joseph Costello, UCSF",newborn,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male newborn foreskin melanocyte primary cell,,
